slug,name,font_type,merchant_block_position,logo_placement,divider_style,total_divider_style,total_emphasis,layout_signature,money_row_order,quantity_column,barcode_placement,number_format,background_type,header_alignment,section_count
Apple-Receipt-example-with-AirPods-Generation-3-and-3-more-items-totalling-278-dollars,Apple Receipt example with AirPods Generation 3 and 3 more items totalling 278 dollars,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_3,LEFT,5
Apple-Receipt,Apple Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,LEFT,5
Applebee's-Receipt,Applebee’s Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|DATE|ITEMS|CUSTOM,ITEM>SUBTOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Arby's-Canada-Receipt,Arby's Canada Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Arby's-Receipt,Arby’s Receipt,MERCHANT_COPY,TOP,NONE,DASHES,NONE,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Aroy-Mak-Thai-Food-Receipt,Aroy Mak Thai Food Receipt,MERCHANT_COPY,TOP,NONE,NONE,EQUALS,NONE,HEADER|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Atlantic-Superstore-Receipt,Atlantic Superstore Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|ITEMS|BARCODE,ITEM,ABSENT,BOTTOM,LEFT,CRUMPLED_1,LEFT,5
Auntie-Anne's-Receipt,Auntie Anne's Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|CUSTOM|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,10
Auto-Repair-Receipt,Auto Repair Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,PERCENT_50,HEADER|CUSTOM|CUSTOM|ITEMS|PAYMENT|BARCODE|CUSTOM|DATE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,8
Autozone-Receipt,Autozone Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,7
BIG-W-Receipt,BIG W Receipt ,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|BARCODE|CUSTOM,ITEM>SUBTOTAL>TENDER>CHANGE>TOTAL,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,4
BJ's-Wholesale-Club-Receipt,BJ’s Wholesale Club Receipt ,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|DATE|ITEMS|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
BP-Express-Receipt,BP Express Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|CUSTOM|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
BP-Receipt,BP Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,NONE,PERCENT_50,HEADER|RESTAURANT|ITEMS|PAYMENT|CUSTOM|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Babysitting-Receipt,Babysitting Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DOTS,NONE,HEADER|CUSTOM|DATE|CUSTOM|CUSTOM|ITEMS|PAYMENT|CUSTOM|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,9
Bahama-Breeze-Receipt,Bahama Breeze Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|CUSTOM|CUSTOM|ITEMS|CUSTOM|ITEMS|CUSTOM|ITEMS|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,9
Baja-Fresh-Receipt,Baja Fresh Receipt,MERCHANT_COPY,TOP,TOP,DASHES,NONE,NONE,HEADER|PAYMENT|PAYMENT|PAYMENT|CUSTOM,META>ITEM>SUBTOTAL>DISCOUNT>TOTAL>AUTH>CHANGE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,5
Bakery-Receipt,Bakery Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,PERCENT_75,HEADER|BARCODE|DATE|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TOTAL>TENDER>META>AUTH,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
Baldwinsville-Tops-Receipt,Baldwinsville Tops Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|CUSTOM|ITEMS|CUSTOM|CUSTOM|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Balenciaga-receipt-example-with-Hourglass-Bag-Tax-and-3-more-items-totalling-3212-dollars-19-cents,"Balenciaga receipt example with Hourglass Bag, Tax and 3 more items totalling 3212 dollars 19 cents",MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|ITEMS|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,UNSET,UNSET,CENTER,5
Balenciaga-receipt,Balenciaga receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|DATE|ITEMS|PAYMENT|BARCODE,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,BOTTOM,UNSET,UNSET,CENTER,5
Bambu-Receipt,Bambu Receipt,MERCHANT_COPY,TOP,TOP,NONE,EQUALS,NONE,HEADER|ITEMS|ITEMS|CUSTOM,ITEM>TOTAL,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Banana-Republic-Receipt,Banana Republic Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|BARCODE|CUSTOM|ITEMS|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,6
BandM-Store-Receipt,B&M Store Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|BARCODE|CUSTOM|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,5
BandQ-Receipt,B&Q Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|CUSTOM|BARCODE|CUSTOM,ITEM,ABSENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Bank-Transaction-Receipt,Bank Transaction Receipt,MERCHANT_COPY,TOP,TOP,COLONS,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM|DATE|BARCODE,NONE,NO_ITEMS,BOTTOM,LEFT,CRUMPLED_1,CENTER,9
Bar-A-BBQ-Receipt,Bar-A-BBQ Receipt,MERCHANT_COPY,TOP,NONE,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,LEFT,8
Bar-and-Grill-Receipt,Bar & Grill Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Barnes-and-Noble-Receipt,Barnes & Noble Receipt,MERCHANT_COPY,TOP,NONE,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM|CUSTOM|BARCODE|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Barton-Rouge-Receipt,Barton Rouge Receipt,MERCHANT_COPY,TOP,TOP,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM|ITEMS|CUSTOM|BARCODE|CUSTOM,ITEM,PRESENT,MIDDLE,LEFT,CRUMPLED_1,CENTER,7
Basebowl-Washington-DC-Receipt,"Basebowl Washington, DC Receipt",MERCHANT_COPY,TOP,NONE,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Baskin-Robbins-Receipt,Baskin Robbins Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Bass-Pro-Shops-Cabela's-Gift-Card-Receipt,Bass Pro Shops - Cabela’s Gift Card Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|DATE|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,4
Bass-Pro-Shops-Outdoor-World-Receipt,Bass Pro Shops Outdoor World Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|DATE|ITEMS|CUSTOM,ITEM>TAX>TENDER>TOTAL,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Bath-and-Body-Works-Receipt,Bath & Body Works Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|DATE|CUSTOM|BARCODE|CUSTOM|CUSTOM|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,MIDDLE,LEFT,CRUMPLED_1,CENTER,9
Bealls-Outlet-Receipt,Bealls Outlet Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,4
Bed-Bath-and-Beyond-Receipt,Bed Bath & Beyond Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,EMPTY,NONE,HEADER|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>CHANGE,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,4
Beefeater-Harvester-Receipt,Beefeater Harvester Receipt,MERCHANT_COPY,TOP,NONE,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|CUSTOM|CUSTOM|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,6
Bel-Air-Markets-Receipt,Bel Air Markets Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS|CUSTOM,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,3
Belk-Receipt,Belk Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,3
Bella-Italia-Receipt,Bella Italia Receipt,MERCHANT_COPY,TOP,TOP,NONE,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM,ITEM,PRESENT,NONE,LEFT,CRUMPLED_1,CENTER,5
Ben-and-Jerry's-Receipt,Ben & Jerry's Receipt,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|CUSTOM|CUSTOM|ITEMS|ITEMS|ITEMS,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,7
Bench-Cafe-and-Restaurant-Tax-Invoice,Bench Cafe & Restaurant Tax Invoice,MERCHANT_COPY,TOP,TOP,DASHES,DASHES,NONE,HEADER|ITEMS|ITEMS|ITEMS|CUSTOM|CUSTOM|CUSTOM|BARCODE,ITEM,PRESENT,BOTTOM,LEFT,CRUMPLED_1,CENTER,8
Benihana-Receipt,Benihana Receipt,MERCHANT_COPY,TOP,NONE,NONE,NONE,NONE,HEADER|ITEMS,ITEM,ABSENT,NONE,LEFT,CRUMPLED_1,CENTER,2
Bergdorf-Goodman-Receipt,Bergdorf Goodman Receipt,MERCHANT_COPY,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|CUSTOM|CUSTOM,NONE,NO_ITEMS,NONE,LEFT,CRUMPLED_1,CENTER,4
Best-Buy-Receipt-example-Camera-Canon-EF24-70mm-f2.8L-II-USM-Black-USB-wire-and-Photo-port-case-totalling-1887-dollars-77-cents,"Best Buy Receipt example Camera Canon EF24-70mm f/2.8L II USM, Black USB wire, and Photo port case, totalling 1887 dollars 77 cents",UNSET,TOP,TOP,DASHES,EQUALS,PERCENT_10,HEADER|CUSTOM|ITEMS|PAYMENT|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,NONE,UNSET,UNSET,CENTER,5
Best-Buy-Receipt-example-Sony-WF1000XM5-In-Ear-Noise-Cancelling-True-Wireless-Earbuds-Black-for-373-dollars-40-cents-with-42-dollars-96-cents-tax-totalling-416-dollars-36-cents,Best Buy Receipt example Sony WF1000XM5 In Ear Noise Cancelling True Wireless Earbuds Black for 373 dollars 40 cents with 42 dollars 96 cents tax totalling 416 dollars 36 cents,UNSET,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|DATE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,NONE,UNSET,UNSET,CENTER,6
Best-Buy-Receipt-example-with-AirPod-Pro-2nd-Generation-totalling-dollar207.71,"Best Buy Receipt example with AirPod Pro 2nd Generation, totalling $207.71",UNSET,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|DATE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,NONE,UNSET,UNSET,CENTER,6
Best-Buy-Receipt-example-with-Canon-PowerShot-G7-X-Mark-III-Total-1652-dollars-99-cents,"Best Buy Receipt example with Canon PowerShot G7 X Mark III, Total 1652 dollars 99 cents",UNSET,TOP,TOP,EMPTY,NONE,NONE,HEADER|CUSTOM|ITEMS|PAYMENT|DATE|CUSTOM,ITEM>SUBTOTAL>TAX>TOTAL>TENDER>META>AUTH,PRESENT,NONE,UNSET,UNSET,CENTER,6
